Project Name (Eng),Project Name (Chi),Project Address,District,Project Type,Owner / Developer Name,BEAM Pro,Tool,Current Status,Year,Validity,Green Build Cert Label No,Online exhibition,Outstanding Performance in ES Cat
"A 30-classroom Primary School at Site KT2a, Development at Anderson Road, Kwun Tong",觀塘安達臣道發展區(地盤KT2a)1所設有30間課室的小學,"Site KT2a, Development at Anderson Road, Kwun Tong",KLN - Kwun Tong,Government Institutional and Community,Architectural Services Department,"WONG Man Sze, Wency",NB V2.0,Provisional Gold,2023,Valid,,,
"A 30-classroom primary school at Site KT2c, Development at Anderson Road, Kwun Tong",觀塘安達臣道發展區(地盤KT2c)1 所設有30 間課室的小學,"On Yan Street, Kwun Tong",KLN - Kwun Tong,Government Institutional and Community,Architectural Services Department,"KWOK May Han, Grace",NB V1.2,Provisional Gold,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1364,
"A 30-classroom Primary School at Tung Chung Area 89 (Northern Side), Tung Chung",,"Ying Tung Road, Tung Chung Area 89, Tung Chung",NT - Islands,Government Institutional and Community,"Education Bureau Planning, Infrastructure and School Places Allocation Branch Infrastructure & Research Support Division Policy & Research Support Section",Lo Lam,NB V2.0,Registered,2022,Valid,,,
"A 30-classroom Primary School in Tsuen Wan West Station (TW7) Development, Tsuen Wan",荃灣荃灣西站(TW7)發展項目1所設有30間課室的小學,"Wing Shun Street, Tsuen Wan West Station (TW7) Development, Tsuen Wan",NT - Kwai Tsing,Government Institutional and Community,Architectural Services Department,Ir Lai Shing Leong,NB V1.2,Provisional Gold,2022,Valid,,,
"A 30-classroom Secondary School at Tung Chung Area 89 (Southern Side), Tung Chung",,"Ying Tung Road, Tung Chung Area 89, Tung Chung",NT - Islands,Government Institutional and Community,Education Bureau,Mr Lam Lo,NB V2.0,Registered,2023,Valid,,,
"A 36-Classroom Primary School at Area 9, Tai Po",大埔第9區1所設有36間課室的小學,"Area 9, Tai Po",NT - Tai Po,Government Institutional and Community,"Architectural Services Department, HKSAR Government",JIANG Wei,NB V1.2,Provisional Gold,2021,Valid,,,
A District Court Building at Caroline Hill Road,加路連山道區域法院大樓,"Caroline Hill Road, Causeway Bay, Hong Kong",HK - Wan Chai,Government Institutional and Community,The Judiciary of the Hong Kong Special Administrative Region of the People’s Republic of China / Architectural Services Department,LEE Kin Pong Desmond,NB V2.0,Provisional Platinum,2024,Valid,,,
"A&A works (Conversion to Office) at No. 13 Pennington Street, Causeway Bay, Hong Kong",,"13 Pennington Street, Causeway Bay, Hong Kong",HK - Wan Chai,Commercial,Asia Smart Holdings Limited,Ir Tam Yuen Kwong Nelson,NB V2.0,Registered,2020,Valid,,,
"A&A Works at Eltee Buildings, 3 Ning Foo Street, Chai Wan",,"3 Ning Foo Street, Chai Wan",HK - Eastern,Commercial,Eltee Enterprise Limited,"MAK Kei Choi, Henry",NB V1.2,Registered,2018,Valid,,,
Abba House,福利群大廈,"223-227 Aberdeen Main Road, Aberdeen",HK - Southern,Residential,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
Aberdeen Technical School,香港仔工業學校,"1 Wong Chuk Hang Road, Aberdeen, Hong Kong",HK - Southern,Aided,Aberdeen Technical School,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,"SLL, SCE"
ac,香港仔中心商場,"Nam Ning Street, Aberdeen",HK - Southern,Commercial,Hutchison Property Management Limited,Leung Hip Shing,EB V2.0 Sel. MAN,Excellent,2023,Valid,,,
"Academic Building at No.3 Sassoon Road, The University of Hong Kong",香港大學沙宣道3號教學大樓,"No. 3 Sassoon Road, Pokfulam, Hong Kong",HK - Southern,Government Institutional and Community,The University of Hong Kong,Ma Yee Ling,NB V1.2,Provisional Platinum,2021,Valid,,,
"Academic Building, 22 Cornwall Street, Kowloon","Academic Building, 22 Cornwall Street, Kowloon","22 Cornwall Street ,Kowloon Tong, Kowloon",KLN - Sham Shui Po,Government Institutional and Community,City University of Hong Kong,"KWOK May Han, Grace",NB V1.2,Provisional Bronze,2024,Valid,,,
Addition and Alteration Works for Installation of the 5th Linear Accelerator in Tuen Mun Hospital,,"RT Block, Tuen Mun Hospital, 23 Tsing Chung Koon Road, Tuen Mun, N.T.",NT - Tuen Mun,Institutional,Tuen Mun Hospital,"Ms. Kwok May Han, Grace",BI V1.0,Registered,2024,Valid,,,
Addition and Alteration Works for Installation of the 6th Linear Accelerator in Prince of Wales Hospital,,"North Wing , Li Ka Shing Specialist Clinics, Prince of Wales Hospital, 30-32 Ngan Shing Street, Sha Tin, N.T.",NT - Sha Tin,Institutional,Prince of Wales Hospital,"Ms. Kwok May Han, Grace",BI V1.0,Registered,2024,Valid,,,
Additional Public Housing Development at Mei Tin Estate Phase 4,美田邨第四期公營房屋加建發展計劃,"Mei Tin Estate Phase 4, Shatin",NT - Sha Tin,Mixed Use,Hong Kong Housing Authority,Leong Lai Shing,NB V2.0,Registered,2024,Valid,,,
"Administration Building, Liantang / Heung Yuen Wai Boundary Control Point Connecting Road",行政大樓   蓮塘/香園圍口岸與相關工程 – 工地平整及基礎建設工程,"Administration Building,  Wo Keng Shan Road, Ta Kwu Ling, N.T., Hong Kong",NT - North,Government Institutional and Community,"Civil Engineering and Development Department, HKSAR Government","Ma Yee Ling, Elaine",NB V1.2,Final Bronze,2024,Valid,,,
Advanced Manufacturing Centre (AMC),先進製造業中心,"18 Chun Cheong Street, Tseung Kwan O InnoPark, Tseung Kwan O, New Territories",NT - Sai Kung,Industrial,Hong Kong Science and Technology Parks Corporation,"NG Huen, Henry",NB V1.2,Final Gold,2024,Valid,,,
After The Rain,雨後,"21 Wang Yip Street West, Yuen Long, New Territories",NT - Yuen Long,Mixed Use,Sincere Gold Properties Ltd.,"KWOK May Han, Grace",NB V1.2,Provisional Unclassified,2020,Valid,PAU0079/22,,
"Agreement No. CE 48/2020 (DS) Construction of Dry Weather Flow Interceptor at Tsuen Wan – Investigation, Design and Construction",顧問合約編號CE 48/2020 (DS) 「在荃灣建造旱季截流器 – 勘查研究、設計及建造」,"54 Wing Shun Street, Tsuen Wan",NT - Tsuen Wan,Others,Drainage Services Department,"MAK Kei Choi, Henry",NB V1.2,Registered,2021,Valid,,,
"Agreement No. CE 49/2020 (DS) Construction of Dry Weather Flow Interceptor at Shau Kei Wan – Investigation, Design and Construction",N/A,"68 Hing Man Street, Shau Kei Wan",HK - Eastern,Others,Drainage Services Department,"MAK Kei Choi, Henry",NB V1.2,Registered,2021,Valid,,,
"Agreement No. CE 79/2019 (DS) Construction of Dry Weather Flow Interceptor at Causeway Bay – Investigation, Design and Construction",N/A,"Victoria Park facing Gloucester Road, Causeway Bay",HK - Wan Chai,Others,Drainage Services Department,"MAK Kei Choi, Henry",NB V1.2,Registered,2021,Valid,,,
"Agreement No. CE 79/2019 (DS) Construction of Dry Weather Flow Interceptor at Hung Hom – Investigation, Design and Construction",N/A,"Ching San Street and Kin Wan Street, Hung Hom",KLN - Kowloon City,Others,Drainage Services Department,"MAK Kei Choi, Henry",NB V1.2,Registered,2021,Valid,,,
AIA Building,友邦大廈,"No. 1 Stubbs Road, Wan Chai",HK - Wan Chai,Commercial,AIA Company Limited,Wong Man Sze,NB V1.2,Provisional Platinum,2022,Valid,,,
AIA International Limited - Ascend Wealth Select Centre,友邦保險（國際）有限公司 - 財駿峰 ,"Unit 3601-4, Tower 6, The Gateway, Harbour City, Tsim Sha Tsui, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Work Space,AIA International Limited,MAK Kei Choi (Henry),BI V2.0,Registered,2024,Valid,,,
AIA Tower,友邦廣場,"No. 183 Electric Road, North Point, Hong Kong",HK - Eastern,Commercial,Deland Investment Limited and Choiform Limited,Chan Nai Kin,EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
AIA Training Centre and Premier Academy,,"35/F Airside, 2 Concorde Road, Kai Tak, Kowloon",KLN - Kowloon City,Work Space,AIA International Limited,Warner Li,BI V2.0,Registered,2024,Valid,,,
Airport Freight Forwarding Centre,機場空運中心,"2 Chun Wan Road, Chek Lap Kok",NT - Islands,Others,N/A,N/A,EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
AIRSIDE,Airside,"2 Concorde Road, Kai Tak, Kowloon, Hong Kong",KLN - Kwun Tong,Mixed Use,Rich Union Development Ltd.,"Chow Kwan Nga, Christy",NB V1.2,Final Platinum,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/216,
AIRSIDE,Airside,"New Kowloon Inland Lot No. 6556, Kai Tak Area 1F Site 2, Kowloon",KLN - Kowloon City,Mixed Use,Rich Union Development Limited,"SIU Yan Kit, Edward",ND V1.0,Platinum,2018,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/147,
AKI HONG KONG - MGALLERY,香港明怡美憬閣精選酒店,239 Jaffe Road,HK - Wan Chai,Hotel,King Policy Development Limited,Yuchen CHENG,NB V1.2,Final Bronze,2022,Valid,,,
Alassio,殷然,"100 Caine Road, Mid-levels West, Hong Kong",HK - Central & Western,Residential,Swire Properties Limited,"Kong LI, CHEN Yifang",NB V1.1,Final Platinum,2018,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/144,
Alexandra House,歷山大廈,"18 Chater Road, Central, Hong Kong",HK - Central & Western,Commercial,Hongkong Land Limited,"KWOK May Han, Grace",EB V2.0 Comp. A,Final Platinum,2019,Expired,,,
Alexandra House,歷山大廈,"18 Chater Road, Hong Kong",HK - Central & Western,Commercial,Hongkong Land Limited,"Ms May Han, Grace KWOK",EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
Alexandra House Podium Conversion,,"18 Chater Road, Central, Hong Kong",HK - Central & Western,Shopping Space,"The Hongkong Land Property Company, Limited",Henry K.C. Mak,BI V2.0,Registered,2024,Valid,,,
Allegro,瓏碧,"138 Carpenter Road, Kowloon, Hong Kong",KLN - Sham Shui Po,Mixed Use,High Bond Limited,HO Wing Hung,NB V1.2,Final Unclassified,2024,Valid,,,
Alpine 18,高山 18,18 Ko Shan Road,KLN - Kowloon City,Mixed Use,Next Apex Limited,Woo Yat Fai,NB V1.2,Final Unclassified,2021,Valid,,,
Altamira,尚璟,"18 Po Shan Road, Mid-levels, Hong Kong",HK - Central & Western,Residential,Majestic Elite Property Development Limited,"KWOK May Han, Grace",NB V1.1,Final Platinum,2018,Expired,PAG0021/16,,
"Alteration & Addition Work at Kincheng Commercial Building, No. 412-420 Castle Peak Road, Cheung Sha Wan, Kowloon",,"No. 412-420 Castle Peak Road, Cheung Sha Wan, Kowloon",KLN - Sham Shui Po,Commercial,Winland Strategies Limited,"Mo Cheung Ying, Eagle",NB V1.2,Registered,2017,Valid,,,
"Alteration & Addition Works at No. 165 Hoi Bun Road, Kwun Tong, Kowloon",,"No. 165 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong",KLN - Kwun Tong,Commercial,Full Will Industrial Limited,"Mo Cheung Ying, Eagle",NB V1.2,Provisional Unclassified,2015,Expired,,,
"Alteration and Addition Works at 60 Gloucester Road, Wanchai, Hong Kong",,"60 GLOUCESTER ROAD, HONG KONG",HK - Wan Chai,Commercial,Emperor Project Management (Hong Kong) Limited,Tan Hoi Ying,NB V1.2,Registered,2014,Valid,,,
"Alternation and Addition Works for Proposed Hotel Development at 69-71 King Yip Street, Kwun Tong, Kowloon, Lot K.T.I.L. 65",,"69-71 King Yip Street, Kwun Tong, Kowloon",KLN - Kwun Tong,Hotel,Sunnic Global Limited,Tam Yuen Kwong Nelson,NB V2.0,Registered,2019,Valid,,,
Altissimo, 泓碧,"11 Yiu Sha Road, Whitehead, Ma On Shan, Shatin, New Territories, Hong Kong",NT - Sha Tin,Residential,Loyal Pioneer Limited,JIANG Wei,NB V1.2,Final Unclassified,2021,Valid,PAU0029/18,,
ALTO RESIDENCES,藍塘傲,"29 Tong Yin Street, Tseung Kwan O, New Territories",NT - Sai Kung,Mixed Use,Strongly Limited,Ma Yee Ling,NB V1.2,Final Bronze,2020,Expired,FAB0004/20; PAB0018/16,,
ALVA HOTEL BY ROYAL,帝逸酒店,"1 Yuen Hong Street, Sha Tin, New Territories, Hong Kong",NT - Sha Tin,Hotel,Incheri Limited,Wong Man Sze,NB V1.2,Final Bronze,2021,Valid,,,
Amber Place,恒珀,No.1 Cheung Wah Street,KLN - Sham Shui Po,Residential,Well Century Investments Limited,"KWAN Shiu Yin, Louis",NB V1.2,Final Unclassified,2025,Valid,PAU0089/23,,
"Amenity Complex in Area 103, Ma On Shan",馬鞍山第103區綜合設施大樓,"Area 103, Ma On Shan",NT - Sha Tin,Government Institutional and Community,,,,,,,,,
"An Integrated Teaching Building, The Chinese University of Hong Kong",香港中文大學綜合教學大樓,"Shatin, New Territories, Hong Kong SAR, China",NT - Sha Tin,Government Institutional and Community,The Chinese University of Hong Kong,Lai Shing Leong,NB V1.1,Provisional Gold,2015,Expired,,,
Anchors Academy,安基司學校,"1 Ko Po Path, Kam Tin North, Yuen Long, N.T., Hong Kong",NT - Yuen Long,Commercial,Golden Chain Development Limited,"KWOK May Han, Grace",NB V1.2,Final Silver,2024,Valid,,,
Anderson Grey Water Treatment Plant,安達臣中水處理廠,On Kin Road,KLN - Kwun Tong,Others,Water Supplies Department,Mr. CHOI Lok Tin,NB V1.2,Provisional Platinum,2024,Valid,,,
Anderson Road Quarry Park,安達臣道石礦公園,Quarry Park in Anderson Road Quarry,NT - Sai Kung,Others,Leisure and Cultural Services Department,Curtis Chan Chun Wai,NB V2.0,Provisional Platinum,2024,Valid,,,
Animal Management and Animal Welfare Building Complex in Kai Tak Development Area,啟德發展區的動物管理及動物福利綜合大樓,Site 3A1 in Kai Tak Development Area,KLN - Kwun Tong,Government Institutional and Community,"Agriculture, Fisheries and Conservation Department, HKSAR Government","KWOK May Han, Grace",NB V1.2,Provisional Gold,2020,Valid,,,
Annex Blocks at Hong Kong Observatory Headquarters,,"No. 134A Nathan Road, Tsim Sha Tsui, Kowloon",KLN - Yau Tsim Mong,Government Institutional and Community,Hong Kong Observatory,Andy Lai,NB V2.0,Registered,2023,Valid,,,
Annex Facility to Airport Freight Forwarding Centre,機場空運中心新翼,"2 Chun Wan Road, Chek Lap Kok, Hong Kong",NT - Islands,Others,Airport Freight Forwarding Centre Company Limited,"Ms Wong Man Sze, Wency",NB V1.2,Final Silver,2021,Valid,,,
Annomyous Project,***,***,***,***,***,***,ND V1.0,Registered,2017,Valid,,,
Ap Lei Chau Estate Retail And Car Park,鴨脷洲邨商場,"No. 322 Ap Lei Chau Bridge Road, Ap Lei Chau, Hong Kong Island",HK - Southern,Commercial,Gaw Capital Asset Management (HK) Limited,Lee Man Kwong,EB V2.0 Sel. MAN,Excellent,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1415,
APB Centre,建業中心,"APB Centre, 9 Sung Ping Street, Hung Hom, Kowloon, Hong Kong",KLN - Kowloon City,Government Institutional and Community,Architectural Services Department,Dr. Wei Jiang,EB V2.0 Sel. EU,Excellent,,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/123,
Apec Plaza,創貿廣場,"49 Hoi Yuen Road, Kwun Tong",KLN - Kwun Tong,Industrial,N/A,N/A,EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
Apollo 36/F One Exchange Square New Office Fit Out,Apollo交易廣場一期36樓新辦公室裝修,"36/F, One Exchange Square, 8 Connaught Place, Central, Hong Kong",HK - Central & Western,Commercial,Apollo Management Asia Pacific Limited,Dr TSE MING YEUNG,BI V1.0,Platinum,2023,Valid,,,
Aqua Blue,浪濤灣,"28 Tsing Fat Street, Siu Lam, Tuen Mun",NT - Tuen Mun,Residential,Nan Fung Property Management,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2024,Valid,,,
Aquila Square Mile,利奧坊‧曦岸,"No. 38 Fuk Chak Street, Tai Kok Tsui, Kowloon",KLN - Yau Tsim Mong,Residential,Wellcity Development Limited,"CHAN Chi Keung, Peter",NB V1.2,Provisional Silver,2019,Valid,PAS0028/20,,
AQUILA.SQUARE MILE,利奧坊‧曦岸,"No. 18 Ka Shin Street, Tai Kok Tsui, Kowloon",KLN - Yau Tsim Mong,Residential,Many Gain Investment Limited,"Kong LI, CHAN Kwok Leung",NB V1.1,Final Silver,2023,Valid,PAS0020/18; FAS0023/24,,
Arbour,本木,"2 Tak Shing Street, Hong Kong",KLN - Yau Tsim Mong,Mixed Use,Success Sheen Limited,Lee Kin Sing,NB V1.2,Final Unclassified,2022,Valid,PAU0056/20,,
Archives Centre,歷史檔案中心,"A government land located at the hillside west of Tai Sheung Tok mountain - On Yu Road, Anderson Road Quarry Development Site, Kwun Tong, Kowloon",NT - Sai Kung,Government Institutional and Community,Government Records Service,Leung Tik Hei,NB V2.0,Registered,2023,Valid,,,
Arezzo,瀚然,"33 Seymour Road, Hong Kong",HK - Central & Western,Residential,Swire Properties Limited,"CHAN Chi Keung, Peter",NB V1.1,Final Platinum,2016,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/6,
Argyle Centre Phase I,旺角中心1期,"688 Nathan Road, Mong Kok, Yau Tsim Mong, Kowloon",KLN - Yau Tsim Mong,Commercial,The Incorporated Owners of Argyle Centre Phase I,"Ir Tam Yuen Kwong, Nelson",EB V2.1 Sel. MAN,Registered,2024,Valid,,,
Aria,峻弦,"51 Fung Shing Street, Ngau Chi Wan",KLN - Wong Tai Sin,Residential,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
Art Museum of The Chinese University of Hong Kong - Lo Kwee Seong Pavilion,香港中文大學文物館 - 羅桂祥閣,"Art Museum - Lo Kwee Seong Pavilion, The Chinese University of Hong Kong",NT - Sha Tin,Others,The Chinese University of Hong Kong,Wing Hung HO,NB V1.2,Provisional Platinum,2024,Valid,,,
ARTEMIS,悅晨灣,9 Kau Yuk Road,NT - Islands,Residential,Sino Kingdom Development Limited,"Mo Cheung Ying, Eagle",NB V1.2,Final Unclassified,2023,Valid,PAU0080/22,,
ARTISAN GARDEN,瑧尚,68 Kowloon City Road,KLN - Kowloon City,Mixed Use,Rosy Page Limited,Sze-To Hiu Yue,NB V1.2,Final Gold,2022,Valid,PAG0047/18,,
Artisan House,瑧蓺,"1 Sai Yuen Lane, Hong Kong",HK - Central & Western,Mixed Use,Grace Sky Creation Limited,JIANG Wei,NB V1.2,Final Gold,2019,Expired,PAG0025/16,,
Artisan Hub,,"9 Luk Hop Street, San Po Kong, Kowloon",KLN - Wong Tai Sin,Commercial,New World Development Company Limited,Gladys SO,EB V2.0 Sel. MAN,Registered,2020,Valid,,,
Artisan Hub,,"No. 9 Luk Hop Street, San Po Kong, Kowloon, Hong Kong",KLN - Wong Tai Sin,Commercial,Seaworthy Investments Limited,N/A,NB V1.2,Final Gold,2019,Expired,,,
ARTISAN LAB,,"No. 21 Luk Hop Street, San Po Kong, Kowloon, Hong Kong",KLN - Kowloon City,Industrial,Broad Reach Company Ltd.,YIP Man Tung,NB V1.2,Final Gold,2023,Valid,,,
Artist Square Towers - P31 and P34,,"West Kowloon Cultural District, Hong Kong",KLN - Yau Tsim Mong,Commercial,West Kowloon Cultural District Authority,Jingwen ZHAO,NB V2.0,Registered,2020,Valid,,,
Artist Square Towers - P32,,"West Kowloon Cultural District with Boundary by Canton Road, Austin Road West Toll Plaza of Western Harbour Crossing and Victoria Harbour in Tsim Sha Tsui, Kowloon",KLN - Yau Tsim Mong,Commercial,West Kowloon Cultural District Authority,Jingwen ZHAO,NB V2.0,Registered,2019,Valid,,,
ARUNA,弦岸,"26-32 Main Street, Ap Lei Chau & 6-8 Ping Lan Street, Ap Lei Chau, Hong Kong",HK - Southern,Mixed Use,Star Value Investments Limited,Wei Jiang,NB V1.2,Provisional Silver,2021,Valid,PAS0041/22,,
Asia Logistics Hub - SF Centre,亞洲物流中心 - 順豐大廈,"36 Tsing Yi Hong Wan Road, Tsing Yi, New Territories",NT - Kwai Tsing,Industrial,Savills Property Management Limited,Lee Man Kwong,EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
Asia Trade Centre,亞洲貿易中心,"79 Lei Muk Road, Kwai Chung",NT - Kwai Tsing,Industrial,Nan Fung Property Management,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2024,Valid,,,
AsiaWorld-Expo Phase 2 Development,亞洲國際博覽館第二期擴建計劃,"Hong Kong International Airport, Lantau, Hong Kong",NT - Islands,Government Institutional and Community,Airport Authority Hong Kong,ZHAO Jingwen,NB V1.2,Provisional Platinum,2024,Valid,,,
Aspen Crest,鑽嶺,Nos. 68-86 Wan Fung Street,KLN - Wong Tai Sin,Mixed Use,All Greatness Limited,YAU Ying Man,NB V1.2,Final Unclassified,2019,Expired,,,
Astoria Crest,傲凱,"229 Hai Tan Street, Sham Shui Po, Kowloon, Hong Kong",KLN - Sham Shui Po,Residential,Cheong Sing Property Development Limited,YAU Ying Man,NB V1.2,Final Gold,2021,Valid,FAG0010/21; PAG0037/17,,
ATL Logistics Centre,亞洲貨櫃物流中心,"Berth 3, Kwai Chung Container Terminal, Kwai Chung, Hong Kong",NT - Kwai Tsing,Industrial,ATL Logistics Centre Hong Kong Limited,SZETO Chun Tak,EB V2.1 Sel. MAN,Very Good,2024,Valid,,,
ATRIUM HOUSE,瑧頤,"99 Shap Pat Heung Road, Yuen Long, N.T., Hong Kong",NT - Yuen Long,Residential,Pontiff Company Limited,Mr. Chan Ka Kuen,NB V1.2,Final Gold,2022,Valid,FAG0016/22; PAG0054/19,https://greenbuilding.hkgbc.org.hk/projects/view/721,
AVA 228,九龍大南街218至228號綜合發展項目,"No. 228 Tai Nan Street, Kowloon",KLN - Sham Shui Po,Mixed Use,Full Well Engineering Limited,,NB V1.2,Final Unclassified,2023,Valid,,,
AVA 61,AVA 61,"61 Tai Po Road, Kowloon, Hong Kong",KLN - Sham Shui Po,Mixed Use,Way Creation Limited,Yim Kam Wai,NB V1.2,Final Unclassified,2021,Valid,,,
AVA 62,上海街58-64號綜合用途建築物重建項目,"No. 58-64 Shanghai Street, Hong Kong",KLN - Yau Tsim Mong,Mixed Use,Wisdom Gaining Limited,"CHIU Ka Fai, Calvin",NB V1.2,Final Unclassified,2018,Expired,,,
